#B increments on this direction [0..255] -->
#A increments downwards [0..255]
#Commit ID: 5fa9793cc231+ tip
#Hex value of AF registers after performing ADC A, B; A + B with F = 0x00
0040,0100,0300,0400,0400,0500,0700,0808,0808,0908,0B08,0C08,0C08,0D08,0F08,1010,1000,1100,1300,1400,1400,1500,1700,1808,1808,1908,1B08,1C08,1C08,1D08,1F08,2030,2020,2120,2320,2420,2420,2520,2720,2828,2828,2928,2B28,2C28,2C28,2D28,2F28,3030,3020,3120,3320,3420,3420,3520,3720,3828,3828,3928,3B28,3C28,3C28,3D28,3F28,4010,4000,4100,4300,4400,4400,4500,4700,4808,4808,4908,4B08,4C08,4C08,4D08,4F08,5010,5000,5100,5300,5400,5400,5500,5700,5808,5808,5908,5B08,5C08,5C08,5D08,5F08,6030,6020,6120,6320,6420,6420,6520,6720,6828,6828,6928,6B28,6C28,6C28,6D28,6F28,7030,7020,7120,7320,7420,7420,7520,7720,7828,7828,7928,7B28,7C28,7C28,7D28,7F28,8094,8080,8180,8380,8480,8480,8580,8780,8888,8888,8988,8B88,8C88,8C88,8D88,8F88,9090,9080,9180,9380,9480,9480,9580,9780,9888,9888,9988,9B88,9C88,9C88,9D88,9F88,A0B0,A0A0,A1A0,A3A0,A4A0,A4A0,A5A0,A7A0,A8A8,A8A8,A9A8,ABA8,ACA8,ACA8,ADA8,AFA8,B0B0,B0A0,B1A0,B3A0,B4A0,B4A0,B5A0,B7A0,B8A8,B8A8,B9A8,BBA8,BCA8,BCA8,BDA8,BFA8,C090,C080,C180,C380,C480,C480,C580,C780,C888,C888,C988,CB88,CC88,CC88,CD88,CF88,D090,D080,D180,D380,D480,D480,D580,D780,D888,D888,D988,DB88,DC88,DC88,DD88,DF88,E0B0,E0A0,E1A0,E3A0,E4A0,E4A0,E5A0,E7A0,E8A8,E8A8,E9A8,EBA8,ECA8,ECA8,EDA8,EFA8,F0B0,F0A0,F1A0,F3A0,F4A0,F4A0,F5A0,F7A0,F8A8,F8A8,F9A8,FBA8,FCA8,FCA8,FDA8,FFA8,0051,
0100,0300,0400,0400,0500,0700,0808,0808,0908,0B08,0C08,0C08,0D08,0F08,1010,1010,1100,1300,1400,1400,1500,1700,1808,1808,1908,1B08,1C08,1C08,1D08,1F08,2030,2030,2120,2320,2420,2420,2520,2720,2828,2828,2928,2B28,2C28,2C28,2D28,2F28,3030,3030,3120,3320,3420,3420,3520,3720,3828,3828,3928,3B28,3C28,3C28,3D28,3F28,4010,4010,4100,4300,4400,4400,4500,4700,4808,4808,4908,4B08,4C08,4C08,4D08,4F08,5010,5010,5100,5300,5400,5400,5500,5700,5808,5808,5908,5B08,5C08,5C08,5D08,5F08,6030,6030,6120,6320,6420,6420,6520,6720,6828,6828,6928,6B28,6C28,6C28,6D28,6F28,7030,7030,7120,7320,7420,7420,7520,7720,7828,7828,7928,7B28,7C28,7C28,7D28,7F28,8094,8094,8180,8380,8480,8480,8580,8780,8888,8888,8988,8B88,8C88,8C88,8D88,8F88,9090,9090,9180,9380,9480,9480,9580,9780,9888,9888,9988,9B88,9C88,9C88,9D88,9F88,A0B0,A0B0,A1A0,A3A0,A4A0,A4A0,A5A0,A7A0,A8A8,A8A8,A9A8,ABA8,ACA8,ACA8,ADA8,AFA8,B0B0,B0B0,B1A0,B3A0,B4A0,B4A0,B5A0,B7A0,B8A8,B8A8,B9A8,BBA8,BCA8,BCA8,BDA8,BFA8,C090,C090,C180,C380,C480,C480,C580,C780,C888,C888,C988,CB88,CC88,CC88,CD88,CF88,D090,D090,D180,D380,D480,D480,D580,D780,D888,D888,D988,DB88,DC88,DC88,DD88,DF88,E0B0,E0B0,E1A0,E3A0,E4A0,E4A0,E5A0,E7A0,E8A8,E8A8,E9A8,EBA8,ECA8,ECA8,EDA8,EFA8,F0B0,F0B0,F1A0,F3A0,F4A0,F4A0,F5A0,F7A0,F8A8,F8A8,F9A8,FBA8,FCA8,FCA8,FDA8,FFA8,0051,0051,
0200,0300,0500,0600,0600,0700,0908,0A08,0A08,0B08,0D08,0E08,0E08,0F08,1110,1210,1200,1300,1500,1600,1600,1700,1908,1A08,1A08,1B08,1D08,1E08,1E08,1F08,2130,2230,2220,2320,2520,2620,2620,2720,2928,2A28,2A28,2B28,2D28,2E28,2E28,2F28,3130,3230,3220,3320,3520,3620,3620,3720,3928,3A28,3A28,3B28,3D28,3E28,3E28,3F28,4110,4210,4200,4300,4500,4600,4600,4700,4908,4A08,4A08,4B08,4D08,4E08,4E08,4F08,5110,5210,5200,5300,5500,5600,5600,5700,5908,5A08,5A08,5B08,5D08,5E08,5E08,5F08,6130,6230,6220,6320,6520,6620,6620,6720,6928,6A28,6A28,6B28,6D28,6E28,6E28,6F28,7130,7230,7220,7320,7520,7620,7620,7720,7928,7A28,7A28,7B28,7D28,7E28,7E28,7F28,8194,8294,8280,8380,8580,8680,8680,8780,8988,8A88,8A88,8B88,8D88,8E88,8E88,8F88,9190,9290,9280,9380,9580,9680,9680,9780,9988,9A88,9A88,9B88,9D88,9E88,9E88,9F88,A1B0,A2B0,A2A0,A3A0,A5A0,A6A0,A6A0,A7A0,A9A8,AAA8,AAA8,ABA8,ADA8,AEA8,AEA8,AFA8,B1B0,B2B0,B2A0,B3A0,B5A0,B6A0,B6A0,B7A0,B9A8,BAA8,BAA8,BBA8,BDA8,BEA8,BEA8,BFA8,C190,C290,C280,C380,C580,C680,C680,C780,C988,CA88,CA88,CB88,CD88,CE88,CE88,CF88,D190,D290,D280,D380,D580,D680,D680,D780,D988,DA88,DA88,DB88,DD88,DE88,DE88,DF88,E1B0,E2B0,E2A0,E3A0,E5A0,E6A0,E6A0,E7A0,E9A8,EAA8,EAA8,EBA8,EDA8,EEA8,EEA8,EFA8,F1B0,F2B0,F2A0,F3A0,F5A0,F6A0,F6A0,F7A0,F9A8,FAA8,FAA8,FBA8,FDA8,FEA8,FEA8,FFA8,0111,0211,
0300,0500,0600,0600,0700,0908,0A08,0A08,0B08,0D08,0E08,0E08,0F08,1110,1210,1210,1300,1500,1600,1600,1700,1908,1A08,1A08,1B08,1D08,1E08,1E08,1F08,2130,2230,2230,2320,2520,2620,2620,2720,2928,2A28,2A28,2B28,2D28,2E28,2E28,2F28,3130,3230,3230,3320,3520,3620,3620,3720,3928,3A28,3A28,3B28,3D28,3E28,3E28,3F28,4110,4210,4210,4300,4500,4600,4600,4700,4908,4A08,4A08,4B08,4D08,4E08,4E08,4F08,5110,5210,5210,5300,5500,5600,5600,5700,5908,5A08,5A08,5B08,5D08,5E08,5E08,5F08,6130,6230,6230,6320,6520,6620,6620,6720,6928,6A28,6A28,6B28,6D28,6E28,6E28,6F28,7130,7230,7230,7320,7520,7620,7620,7720,7928,7A28,7A28,7B28,7D28,7E28,7E28,7F28,8194,8294,8294,8380,8580,8680,8680,8780,8988,8A88,8A88,8B88,8D88,8E88,8E88,8F88,9190,9290,9290,9380,9580,9680,9680,9780,9988,9A88,9A88,9B88,9D88,9E88,9E88,9F88,A1B0,A2B0,A2B0,A3A0,A5A0,A6A0,A6A0,A7A0,A9A8,AAA8,AAA8,ABA8,ADA8,AEA8,AEA8,AFA8,B1B0,B2B0,B2B0,B3A0,B5A0,B6A0,B6A0,B7A0,B9A8,BAA8,BAA8,BBA8,BDA8,BEA8,BEA8,BFA8,C190,C290,C290,C380,C580,C680,C680,C780,C988,CA88,CA88,CB88,CD88,CE88,CE88,CF88,D190,D290,D290,D380,D580,D680,D680,D780,D988,DA88,DA88,DB88,DD88,DE88,DE88,DF88,E1B0,E2B0,E2B0,E3A0,E5A0,E6A0,E6A0,E7A0,E9A8,EAA8,EAA8,EBA8,EDA8,EEA8,EEA8,EFA8,F1B0,F2B0,F2B0,F3A0,F5A0,F6A0,F6A0,F7A0,F9A8,FAA8,FAA8,FBA8,FDA8,FEA8,FEA8,FFA8,0111,0211,0211,
0400,0500,0700,0808,0808,0908,0B08,0C08,0C08,0D08,0F08,1010,1010,1110,1310,1410,1400,1500,1700,1808,1808,1908,1B08,1C08,1C08,1D08,1F08,2030,2030,2130,2330,2430,2420,2520,2720,2828,2828,2928,2B28,2C28,2C28,2D28,2F28,3030,3030,3130,3330,3430,3420,3520,3720,3828,3828,3928,3B28,3C28,3C28,3D28,3F28,4010,4010,4110,4310,4410,4400,4500,4700,4808,4808,4908,4B08,4C08,4C08,4D08,4F08,5010,5010,5110,5310,5410,5400,5500,5700,5808,5808,5908,5B08,5C08,5C08,5D08,5F08,6030,6030,6130,6330,6430,6420,6520,6720,6828,6828,6928,6B28,6C28,6C28,6D28,6F28,7030,7030,7130,7330,7430,7420,7520,7720,7828,7828,7928,7B28,7C28,7C28,7D28,7F28,8094,8094,8194,8394,8494,8480,8580,8780,8888,8888,8988,8B88,8C88,8C88,8D88,8F88,9090,9090,9190,9390,9490,9480,9580,9780,9888,9888,9988,9B88,9C88,9C88,9D88,9F88,A0B0,A0B0,A1B0,A3B0,A4B0,A4A0,A5A0,A7A0,A8A8,A8A8,A9A8,ABA8,ACA8,ACA8,ADA8,AFA8,B0B0,B0B0,B1B0,B3B0,B4B0,B4A0,B5A0,B7A0,B8A8,B8A8,B9A8,BBA8,BCA8,BCA8,BDA8,BFA8,C090,C090,C190,C390,C490,C480,C580,C780,C888,C888,C988,CB88,CC88,CC88,CD88,CF88,D090,D090,D190,D390,D490,D480,D580,D780,D888,D888,D988,DB88,DC88,DC88,DD88,DF88,E0B0,E0B0,E1B0,E3B0,E4B0,E4A0,E5A0,E7A0,E8A8,E8A8,E9A8,EBA8,ECA8,ECA8,EDA8,EFA8,F0B0,F0B0,F1B0,F3B0,F4B0,F4A0,F5A0,F7A0,F8A8,F8A8,F9A8,FBA8,FCA8,FCA8,FDA8,FFA8,0051,0051,0111,0311,0411,
0500,0700,0808,0808,0908,0B08,0C08,0C08,0D08,0F08,1010,1010,1110,1310,1410,1410,1500,1700,1808,1808,1908,1B08,1C08,1C08,1D08,1F08,2030,2030,2130,2330,2430,2430,2520,2720,2828,2828,2928,2B28,2C28,2C28,2D28,2F28,3030,3030,3130,3330,3430,3430,3520,3720,3828,3828,3928,3B28,3C28,3C28,3D28,3F28,4010,4010,4110,4310,4410,4410,4500,4700,4808,4808,4908,4B08,4C08,4C08,4D08,4F08,5010,5010,5110,5310,5410,5410,5500,5700,5808,5808,5908,5B08,5C08,5C08,5D08,5F08,6030,6030,6130,6330,6430,6430,6520,6720,6828,6828,6928,6B28,6C28,6C28,6D28,6F28,7030,7030,7130,7330,7430,7430,7520,7720,7828,7828,7928,7B28,7C28,7C28,7D28,7F28,8094,8094,8194,8394,8494,8494,8580,8780,8888,8888,8988,8B88,8C88,8C88,8D88,8F88,9090,9090,9190,9390,9490,9490,9580,9780,9888,9888,9988,9B88,9C88,9C88,9D88,9F88,A0B0,A0B0,A1B0,A3B0,A4B0,A4B0,A5A0,A7A0,A8A8,A8A8,A9A8,ABA8,ACA8,ACA8,ADA8,AFA8,B0B0,B0B0,B1B0,B3B0,B4B0,B4B0,B5A0,B7A0,B8A8,B8A8,B9A8,BBA8,BCA8,BCA8,BDA8,BFA8,C090,C090,C190,C390,C490,C490,C580,C780,C888,C888,C988,CB88,CC88,CC88,CD88,CF88,D090,D090,D190,D390,D490,D490,D580,D780,D888,D888,D988,DB88,DC88,DC88,DD88,DF88,E0B0,E0B0,E1B0,E3B0,E4B0,E4B0,E5A0,E7A0,E8A8,E8A8,E9A8,EBA8,ECA8,ECA8,EDA8,EFA8,F0B0,F0B0,F1B0,F3B0,F4B0,F4B0,F5A0,F7A0,F8A8,F8A8,F9A8,FBA8,FCA8,FCA8,FDA8,FFA8,0051,0051,0111,0311,0411,0411,
0600,0700,0908,0A08,0A08,0B08,0D08,0E08,0E08,0F08,1110,1210,1210,1310,1510,1610,1600,1700,1908,1A08,1A08,1B08,1D08,1E08,1E08,1F08,2130,2230,2230,2330,2530,2630,2620,2720,2928,2A28,2A28,2B28,2D28,2E28,2E28,2F28,3130,3230,3230,3330,3530,3630,3620,3720,3928,3A28,3A28,3B28,3D28,3E28,3E28,3F28,4110,4210,4210,4310,4510,4610,4600,4700,4908,4A08,4A08,4B08,4D08,4E08,4E08,4F08,5110,5210,5210,5310,5510,5610,5600,5700,5908,5A08,5A08,5B08,5D08,5E08,5E08,5F08,6130,6230,6230,6330,6530,6630,6620,6720,6928,6A28,6A28,6B28,6D28,6E28,6E28,6F28,7130,7230,7230,7330,7530,7630,7620,7720,7928,7A28,7A28,7B28,7D28,7E28,7E28,7F28,8194,8294,8294,8394,8594,8694,8680,8780,8988,8A88,8A88,8B88,8D88,8E88,8E88,8F88,9190,9290,9290,9390,9590,9690,9680,9780,9988,9A88,9A88,9B88,9D88,9E88,9E88,9F88,A1B0,A2B0,A2B0,A3B0,A5B0,A6B0,A6A0,A7A0,A9A8,AAA8,AAA8,ABA8,ADA8,AEA8,AEA8,AFA8,B1B0,B2B0,B2B0,B3B0,B5B0,B6B0,B6A0,B7A0,B9A8,BAA8,BAA8,BBA8,BDA8,BEA8,BEA8,BFA8,C190,C290,C290,C390,C590,C690,C680,C780,C988,CA88,CA88,CB88,CD88,CE88,CE88,CF88,D190,D290,D290,D390,D590,D690,D680,D780,D988,DA88,DA88,DB88,DD88,DE88,DE88,DF88,E1B0,E2B0,E2B0,E3B0,E5B0,E6B0,E6A0,E7A0,E9A8,EAA8,EAA8,EBA8,EDA8,EEA8,EEA8,EFA8,F1B0,F2B0,F2B0,F3B0,F5B0,F6B0,F6A0,F7A0,F9A8,FAA8,FAA8,FBA8,FDA8,FEA8,FEA8,FFA8,0111,0211,0211,0311,0511,0611,
0700,0908,0A08,0A08,0B08,0D08,0E08,0E08,0F08,1110,1210,1210,1310,1510,1610,1610,1700,1908,1A08,1A08,1B08,1D08,1E08,1E08,1F08,2130,2230,2230,2330,2530,2630,2630,2720,2928,2A28,2A28,2B28,2D28,2E28,2E28,2F28,3130,3230,3230,3330,3530,3630,3630,3720,3928,3A28,3A28,3B28,3D28,3E28,3E28,3F28,4110,4210,4210,4310,4510,4610,4610,4700,4908,4A08,4A08,4B08,4D08,4E08,4E08,4F08,5110,5210,5210,5310,5510,5610,5610,5700,5908,5A08,5A08,5B08,5D08,5E08,5E08,5F08,6130,6230,6230,6330,6530,6630,6630,6720,6928,6A28,6A28,6B28,6D28,6E28,6E28,6F28,7130,7230,7230,7330,7530,7630,7630,7720,7928,7A28,7A28,7B28,7D28,7E28,7E28,7F28,8194,8294,8294,8394,8594,8694,8694,8780,8988,8A88,8A88,8B88,8D88,8E88,8E88,8F88,9190,9290,9290,9390,9590,9690,9690,9780,9988,9A88,9A88,9B88,9D88,9E88,9E88,9F88,A1B0,A2B0,A2B0,A3B0,A5B0,A6B0,A6B0,A7A0,A9A8,AAA8,AAA8,ABA8,ADA8,AEA8,AEA8,AFA8,B1B0,B2B0,B2B0,B3B0,B5B0,B6B0,B6B0,B7A0,B9A8,BAA8,BAA8,BBA8,BDA8,BEA8,BEA8,BFA8,C190,C290,C290,C390,C590,C690,C690,C780,C988,CA88,CA88,CB88,CD88,CE88,CE88,CF88,D190,D290,D290,D390,D590,D690,D690,D780,D988,DA88,DA88,DB88,DD88,DE88,DE88,DF88,E1B0,E2B0,E2B0,E3B0,E5B0,E6B0,E6B0,E7A0,E9A8,EAA8,EAA8,EBA8,EDA8,EEA8,EEA8,EFA8,F1B0,F2B0,F2B0,F3B0,F5B0,F6B0,F6B0,F7A0,F9A8,FAA8,FAA8,FBA8,FDA8,FEA8,FEA8,FFA8,0111,0211,0211,0311,0511,0611,0611,
0808,0908,0B08,0C08,0C08,0D08,0F08,1010,1010,1110,1310,1410,1410,1510,1710,1818,1808,1908,1B08,1C08,1C08,1D08,1F08,2030,2030,2130,2330,2430,2430,2530,2730,2838,2828,2928,2B28,2C28,2C28,2D28,2F28,3030,3030,3130,3330,3430,3430,3530,3730,3838,3828,3928,3B28,3C28,3C28,3D28,3F28,4010,4010,4110,4310,4410,4410,4510,4710,4818,4808,4908,4B08,4C08,4C08,4D08,4F08,5010,5010,5110,5310,5410,5410,5510,5710,5818,5808,5908,5B08,5C08,5C08,5D08,5F08,6030,6030,6130,6330,6430,6430,6530,6730,6838,6828,6928,6B28,6C28,6C28,6D28,6F28,7030,7030,7130,7330,7430,7430,7530,7730,7838,7828,7928,7B28,7C28,7C28,7D28,7F28,8094,8094,8194,8394,8494,8494,8594,8794,889C,8888,8988,8B88,8C88,8C88,8D88,8F88,9090,9090,9190,9390,9490,9490,9590,9790,9898,9888,9988,9B88,9C88,9C88,9D88,9F88,A0B0,A0B0,A1B0,A3B0,A4B0,A4B0,A5B0,A7B0,A8B8,A8A8,A9A8,ABA8,ACA8,ACA8,ADA8,AFA8,B0B0,B0B0,B1B0,B3B0,B4B0,B4B0,B5B0,B7B0,B8B8,B8A8,B9A8,BBA8,BCA8,BCA8,BDA8,BFA8,C090,C090,C190,C390,C490,C490,C590,C790,C898,C888,C988,CB88,CC88,CC88,CD88,CF88,D090,D090,D190,D390,D490,D490,D590,D790,D898,D888,D988,DB88,DC88,DC88,DD88,DF88,E0B0,E0B0,E1B0,E3B0,E4B0,E4B0,E5B0,E7B0,E8B8,E8A8,E9A8,EBA8,ECA8,ECA8,EDA8,EFA8,F0B0,F0B0,F1B0,F3B0,F4B0,F4B0,F5B0,F7B0,F8B8,F8A8,F9A8,FBA8,FCA8,FCA8,FDA8,FFA8,0051,0051,0111,0311,0411,0411,0511,0711,0819,
0908,0B08,0C08,0C08,0D08,0F08,1010,1010,1110,1310,1410,1410,1510,1710,1818,1818,1908,1B08,1C08,1C08,1D08,1F08,2030,2030,2130,2330,2430,2430,2530,2730,2838,2838,2928,2B28,2C28,2C28,2D28,2F28,3030,3030,3130,3330,3430,3430,3530,3730,3838,3838,3928,3B28,3C28,3C28,3D28,3F28,4010,4010,4110,4310,4410,4410,4510,4710,4818,4818,4908,4B08,4C08,4C08,4D08,4F08,5010,5010,5110,5310,5410,5410,5510,5710,5818,5818,5908,5B08,5C08,5C08,5D08,5F08,6030,6030,6130,6330,6430,6430,6530,6730,6838,6838,6928,6B28,6C28,6C28,6D28,6F28,7030,7030,7130,7330,7430,7430,7530,7730,7838,7838,7928,7B28,7C28,7C28,7D28,7F28,8094,8094,8194,8394,8494,8494,8594,8794,889C,889C,8988,8B88,8C88,8C88,8D88,8F88,9090,9090,9190,9390,9490,9490,9590,9790,9898,9898,9988,9B88,9C88,9C88,9D88,9F88,A0B0,A0B0,A1B0,A3B0,A4B0,A4B0,A5B0,A7B0,A8B8,A8B8,A9A8,ABA8,ACA8,ACA8,ADA8,AFA8,B0B0,B0B0,B1B0,B3B0,B4B0,B4B0,B5B0,B7B0,B8B8,B8B8,B9A8,BBA8,BCA8,BCA8,BDA8,BFA8,C090,C090,C190,C390,C490,C490,C590,C790,C898,C898,C988,CB88,CC88,CC88,CD88,CF88,D090,D090,D190,D390,D490,D490,D590,D790,D898,D898,D988,DB88,DC88,DC88,DD88,DF88,E0B0,E0B0,E1B0,E3B0,E4B0,E4B0,E5B0,E7B0,E8B8,E8B8,E9A8,EBA8,ECA8,ECA8,EDA8,EFA8,F0B0,F0B0,F1B0,F3B0,F4B0,F4B0,F5B0,F7B0,F8B8,F8B8,F9A8,FBA8,FCA8,FCA8,FDA8,FFA8,0051,0051,0111,0311,0411,0411,0511,0711,0819,0819,
0A08,0B08,0D08,0E08,0E08,0F08,1110,1210,1210,1310,1510,1610,1610,1710,1918,1A18,1A08,1B08,1D08,1E08,1E08,1F08,2130,2230,2230,2330,2530,2630,2630,2730,2938,2A38,2A28,2B28,2D28,2E28,2E28,2F28,3130,3230,3230,3330,3530,3630,3630,3730,3938,3A38,3A28,3B28,3D28,3E28,3E28,3F28,4110,4210,4210,4310,4510,4610,4610,4710,4918,4A18,4A08,4B08,4D08,4E08,4E08,4F08,5110,5210,5210,5310,5510,5610,5610,5710,5918,5A18,5A08,5B08,5D08,5E08,5E08,5F08,6130,6230,6230,6330,6530,6630,6630,6730,6938,6A38,6A28,6B28,6D28,6E28,6E28,6F28,7130,7230,7230,7330,7530,7630,7630,7730,7938,7A38,7A28,7B28,7D28,7E28,7E28,7F28,8194,8294,8294,8394,8594,8694,8694,8794,899C,8A9C,8A88,8B88,8D88,8E88,8E88,8F88,9190,9290,9290,9390,9590,9690,9690,9790,9998,9A98,9A88,9B88,9D88,9E88,9E88,9F88,A1B0,A2B0,A2B0,A3B0,A5B0,A6B0,A6B0,A7B0,A9B8,AAB8,AAA8,ABA8,ADA8,AEA8,AEA8,AFA8,B1B0,B2B0,B2B0,B3B0,B5B0,B6B0,B6B0,B7B0,B9B8,BAB8,BAA8,BBA8,BDA8,BEA8,BEA8,BFA8,C190,C290,C290,C390,C590,C690,C690,C790,C998,CA98,CA88,CB88,CD88,CE88,CE88,CF88,D190,D290,D290,D390,D590,D690,D690,D790,D998,DA98,DA88,DB88,DD88,DE88,DE88,DF88,E1B0,E2B0,E2B0,E3B0,E5B0,E6B0,E6B0,E7B0,E9B8,EAB8,EAA8,EBA8,EDA8,EEA8,EEA8,EFA8,F1B0,F2B0,F2B0,F3B0,F5B0,F6B0,F6B0,F7B0,F9B8,FAB8,FAA8,FBA8,FDA8,FEA8,FEA8,FFA8,0111,0211,0211,0311,0511,0611,0611,0711,0919,0A19,
