#Hex value of AF registers after performing CP A, B with F = 0x00
#B increments on this direction [0..255] -->
#A increments downwards [0..255]
#Commit ID: 45ce8ef6a292+ tip
0042,0093,0093,0093,0093,0093,0093,0093,009B,009B,009B,009B,009B,009B,009B,009B,0083,0093,0093,0093,0093,0093,0093,0093,009B,009B,009B,009B,009B,009B,009B,009B,00A3,00B3,00B3,00B3,00B3,00B3,00B3,00B3,00BB,00BB,00BB,00BB,00BB,00BB,00BB,00BB,00A3,00B3,00B3,00B3,00B3,00B3,00B3,00B3,00BB,00BB,00BB,00BB,00BB,00BB,00BB,00BB,0083,0093,0093,0093,0093,0093,0093,0093,009B,009B,009B,009B,009B,009B,009B,009B,0083,0093,0093,0093,0093,0093,0093,0093,009B,009B,009B,009B,009B,009B,009B,009B,00A3,00B3,00B3,00B3,00B3,00B3,00B3,00B3,00BB,00BB,00BB,00BB,00BB,00BB,00BB,00BB,00A3,00B3,00B3,00B3,00B3,00B3,00B3,00B3,00BB,00BB,00BB,00BB,00BB,00BB,00BB,00BB,0087,0013,0013,0013,0013,0013,0013,0013,001B,001B,001B,001B,001B,001B,001B,001B,0003,0013,0013,0013,0013,0013,0013,0013,001B,001B,001B,001B,001B,001B,001B,001B,0023,0033,0033,0033,0033,0033,0033,0033,003B,003B,003B,003B,003B,003B,003B,003B,0023,0033,0033,0033,0033,0033,0033,0033,003B,003B,003B,003B,003B,003B,003B,003B,0003,0013,0013,0013,0013,0013,0013,0013,001B,001B,001B,001B,001B,001B,001B,001B,0003,0013,0013,0013,0013,0013,0013,0013,001B,001B,001B,001B,001B,001B,001B,001B,0023,0033,0033,0033,0033,0033,0033,0033,003B,003B,003B,003B,003B,003B,003B,003B,0023,0033,0033,0033,0033,0033,0033,0033,003B,003B,003B,003B,003B,003B,003B,003B,
0102,0142,0193,0193,0193,0193,0193,0193,019B,019B,019B,019B,019B,019B,019B,019B,0183,0183,0193,0193,0193,0193,0193,0193,019B,019B,019B,019B,019B,019B,019B,019B,01A3,01A3,01B3,01B3,01B3,01B3,01B3,01B3,01BB,01BB,01BB,01BB,01BB,01BB,01BB,01BB,01A3,01A3,01B3,01B3,01B3,01B3,01B3,01B3,01BB,01BB,01BB,01BB,01BB,01BB,01BB,01BB,0183,0183,0193,0193,0193,0193,0193,0193,019B,019B,019B,019B,019B,019B,019B,019B,0183,0183,0193,0193,0193,0193,0193,0193,019B,019B,019B,019B,019B,019B,019B,019B,01A3,01A3,01B3,01B3,01B3,01B3,01B3,01B3,01BB,01BB,01BB,01BB,01BB,01BB,01BB,01BB,01A3,01A3,01B3,01B3,01B3,01B3,01B3,01B3,01BB,01BB,01BB,01BB,01BB,01BB,01BB,01BB,0187,0187,0113,0113,0113,0113,0113,0113,011B,011B,011B,011B,011B,011B,011B,011B,0103,0103,0113,0113,0113,0113,0113,0113,011B,011B,011B,011B,011B,011B,011B,011B,0123,0123,0133,0133,0133,0133,0133,0133,013B,013B,013B,013B,013B,013B,013B,013B,0123,0123,0133,0133,0133,0133,0133,0133,013B,013B,013B,013B,013B,013B,013B,013B,0103,0103,0113,0113,0113,0113,0113,0113,011B,011B,011B,011B,011B,011B,011B,011B,0103,0103,0113,0113,0113,0113,0113,0113,011B,011B,011B,011B,011B,011B,011B,011B,0123,0123,0133,0133,0133,0133,0133,0133,013B,013B,013B,013B,013B,013B,013B,013B,0123,0123,0133,0133,0133,0133,0133,0133,013B,013B,013B,013B,013B,013B,013B,013B,
0202,0202,0242,0293,0293,0293,0293,0293,029B,029B,029B,029B,029B,029B,029B,029B,0283,0283,0283,0293,0293,0293,0293,0293,029B,029B,029B,029B,029B,029B,029B,029B,02A3,02A3,02A3,02B3,02B3,02B3,02B3,02B3,02BB,02BB,02BB,02BB,02BB,02BB,02BB,02BB,02A3,02A3,02A3,02B3,02B3,02B3,02B3,02B3,02BB,02BB,02BB,02BB,02BB,02BB,02BB,02BB,0283,0283,0283,0293,0293,0293,0293,0293,029B,029B,029B,029B,029B,029B,029B,029B,0283,0283,0283,0293,0293,0293,0293,0293,029B,029B,029B,029B,029B,029B,029B,029B,02A3,02A3,02A3,02B3,02B3,02B3,02B3,02B3,02BB,02BB,02BB,02BB,02BB,02BB,02BB,02BB,02A3,02A3,02A3,02B3,02B3,02B3,02B3,02B3,02BB,02BB,02BB,02BB,02BB,02BB,02BB,02BB,0287,0287,0287,0213,0213,0213,0213,0213,021B,021B,021B,021B,021B,021B,021B,021B,0203,0203,0203,0213,0213,0213,0213,0213,021B,021B,021B,021B,021B,021B,021B,021B,0223,0223,0223,0233,0233,0233,0233,0233,023B,023B,023B,023B,023B,023B,023B,023B,0223,0223,0223,0233,0233,0233,0233,0233,023B,023B,023B,023B,023B,023B,023B,023B,0203,0203,0203,0213,0213,0213,0213,0213,021B,021B,021B,021B,021B,021B,021B,021B,0203,0203,0203,0213,0213,0213,0213,0213,021B,021B,021B,021B,021B,021B,021B,021B,0223,0223,0223,0233,0233,0233,0233,0233,023B,023B,023B,023B,023B,023B,023B,023B,0223,0223,0223,0233,0233,0233,0233,0233,023B,023B,023B,023B,023B,023B,023B,023B,
0302,0302,0302,0342,0393,0393,0393,0393,039B,039B,039B,039B,039B,039B,039B,039B,0383,0383,0383,0383,0393,0393,0393,0393,039B,039B,039B,039B,039B,039B,039B,039B,03A3,03A3,03A3,03A3,03B3,03B3,03B3,03B3,03BB,03BB,03BB,03BB,03BB,03BB,03BB,03BB,03A3,03A3,03A3,03A3,03B3,03B3,03B3,03B3,03BB,03BB,03BB,03BB,03BB,03BB,03BB,03BB,0383,0383,0383,0383,0393,0393,0393,0393,039B,039B,039B,039B,039B,039B,039B,039B,0383,0383,0383,0383,0393,0393,0393,0393,039B,039B,039B,039B,039B,039B,039B,039B,03A3,03A3,03A3,03A3,03B3,03B3,03B3,03B3,03BB,03BB,03BB,03BB,03BB,03BB,03BB,03BB,03A3,03A3,03A3,03A3,03B3,03B3,03B3,03B3,03BB,03BB,03BB,03BB,03BB,03BB,03BB,03BB,0387,0387,0387,0387,0313,0313,0313,0313,031B,031B,031B,031B,031B,031B,031B,031B,0303,0303,0303,0303,0313,0313,0313,0313,031B,031B,031B,031B,031B,031B,031B,031B,0323,0323,0323,0323,0333,0333,0333,0333,033B,033B,033B,033B,033B,033B,033B,033B,0323,0323,0323,0323,0333,0333,0333,0333,033B,033B,033B,033B,033B,033B,033B,033B,0303,0303,0303,0303,0313,0313,0313,0313,031B,031B,031B,031B,031B,031B,031B,031B,0303,0303,0303,0303,0313,0313,0313,0313,031B,031B,031B,031B,031B,031B,031B,031B,0323,0323,0323,0323,0333,0333,0333,0333,033B,033B,033B,033B,033B,033B,033B,033B,0323,0323,0323,0323,0333,0333,0333,0333,033B,033B,033B,033B,033B,033B,033B,033B,
0402,0402,0402,0402,0442,0493,0493,0493,049B,049B,049B,049B,049B,049B,049B,049B,0483,0483,0483,0483,0483,0493,0493,0493,049B,049B,049B,049B,049B,049B,049B,049B,04A3,04A3,04A3,04A3,04A3,04B3,04B3,04B3,04BB,04BB,04BB,04BB,04BB,04BB,04BB,04BB,04A3,04A3,04A3,04A3,04A3,04B3,04B3,04B3,04BB,04BB,04BB,04BB,04BB,04BB,04BB,04BB,0483,0483,0483,0483,0483,0493,0493,0493,049B,049B,049B,049B,049B,049B,049B,049B,0483,0483,0483,0483,0483,0493,0493,0493,049B,049B,049B,049B,049B,049B,049B,049B,04A3,04A3,04A3,04A3,04A3,04B3,04B3,04B3,04BB,04BB,04BB,04BB,04BB,04BB,04BB,04BB,04A3,04A3,04A3,04A3,04A3,04B3,04B3,04B3,04BB,04BB,04BB,04BB,04BB,04BB,04BB,04BB,0487,0487,0487,0487,0487,0413,0413,0413,041B,041B,041B,041B,041B,041B,041B,041B,0403,0403,0403,0403,0403,0413,0413,0413,041B,041B,041B,041B,041B,041B,041B,041B,0423,0423,0423,0423,0423,0433,0433,0433,043B,043B,043B,043B,043B,043B,043B,043B,0423,0423,0423,0423,0423,0433,0433,0433,043B,043B,043B,043B,043B,043B,043B,043B,0403,0403,0403,0403,0403,0413,0413,0413,041B,041B,041B,041B,041B,041B,041B,041B,0403,0403,0403,0403,0403,0413,0413,0413,041B,041B,041B,041B,041B,041B,041B,041B,0423,0423,0423,0423,0423,0433,0433,0433,043B,043B,043B,043B,043B,043B,043B,043B,0423,0423,0423,0423,0423,0433,0433,0433,043B,043B,043B,043B,043B,043B,043B,043B,
0502,0502,0502,0502,0502,0542,0593,0593,059B,059B,059B,059B,059B,059B,059B,059B,0583,0583,0583,0583,0583,0583,0593,0593,059B,059B,059B,059B,059B,059B,059B,059B,05A3,05A3,05A3,05A3,05A3,05A3,05B3,05B3,05BB,05BB,05BB,05BB,05BB,05BB,05BB,05BB,05A3,05A3,05A3,05A3,05A3,05A3,05B3,05B3,05BB,05BB,05BB,05BB,05BB,05BB,05BB,05BB,0583,0583,0583,0583,0583,0583,0593,0593,059B,059B,059B,059B,059B,059B,059B,059B,0583,0583,0583,0583,0583,0583,0593,0593,059B,059B,059B,059B,059B,059B,059B,059B,05A3,05A3,05A3,05A3,05A3,05A3,05B3,05B3,05BB,05BB,05BB,05BB,05BB,05BB,05BB,05BB,05A3,05A3,05A3,05A3,05A3,05A3,05B3,05B3,05BB,05BB,05BB,05BB,05BB,05BB,05BB,05BB,0587,0587,0587,0587,0587,0587,0513,0513,051B,051B,051B,051B,051B,051B,051B,051B,0503,0503,0503,0503,0503,0503,0513,0513,051B,051B,051B,051B,051B,051B,051B,051B,0523,0523,0523,0523,0523,0523,0533,0533,053B,053B,053B,053B,053B,053B,053B,053B,0523,0523,0523,0523,0523,0523,0533,0533,053B,053B,053B,053B,053B,053B,053B,053B,0503,0503,0503,0503,0503,0503,0513,0513,051B,051B,051B,051B,051B,051B,051B,051B,0503,0503,0503,0503,0503,0503,0513,0513,051B,051B,051B,051B,051B,051B,051B,051B,0523,0523,0523,0523,0523,0523,0533,0533,053B,053B,053B,053B,053B,053B,053B,053B,0523,0523,0523,0523,0523,0523,0533,0533,053B,053B,053B,053B,053B,053B,053B,053B,
0602,0602,0602,0602,0602,0602,0642,0693,069B,069B,069B,069B,069B,069B,069B,069B,0683,0683,0683,0683,0683,0683,0683,0693,069B,069B,069B,069B,069B,069B,069B,069B,06A3,06A3,06A3,06A3,06A3,06A3,06A3,06B3,06BB,06BB,06BB,06BB,06BB,06BB,06BB,06BB,06A3,06A3,06A3,06A3,06A3,06A3,06A3,06B3,06BB,06BB,06BB,06BB,06BB,06BB,06BB,06BB,0683,0683,0683,0683,0683,0683,0683,0693,069B,069B,069B,069B,069B,069B,069B,069B,0683,0683,0683,0683,0683,0683,0683,0693,069B,069B,069B,069B,069B,069B,069B,069B,06A3,06A3,06A3,06A3,06A3,06A3,06A3,06B3,06BB,06BB,06BB,06BB,06BB,06BB,06BB,06BB,06A3,06A3,06A3,06A3,06A3,06A3,06A3,06B3,06BB,06BB,06BB,06BB,06BB,06BB,06BB,06BB,0687,0687,0687,0687,0687,0687,0687,0613,061B,061B,061B,061B,061B,061B,061B,061B,0603,0603,0603,0603,0603,0603,0603,0613,061B,061B,061B,061B,061B,061B,061B,061B,0623,0623,0623,0623,0623,0623,0623,0633,063B,063B,063B,063B,063B,063B,063B,063B,0623,0623,0623,0623,0623,0623,0623,0633,063B,063B,063B,063B,063B,063B,063B,063B,0603,0603,0603,0603,0603,0603,0603,0613,061B,061B,061B,061B,061B,061B,061B,061B,0603,0603,0603,0603,0603,0603,0603,0613,061B,061B,061B,061B,061B,061B,061B,061B,0623,0623,0623,0623,0623,0623,0623,0633,063B,063B,063B,063B,063B,063B,063B,063B,0623,0623,0623,0623,0623,0623,0623,0633,063B,063B,063B,063B,063B,063B,063B,063B,
0702,0702,0702,0702,0702,0702,0702,0742,079B,079B,079B,079B,079B,079B,079B,079B,0783,0783,0783,0783,0783,0783,0783,0783,079B,079B,079B,079B,079B,079B,079B,079B,07A3,07A3,07A3,07A3,07A3,07A3,07A3,07A3,07BB,07BB,07BB,07BB,07BB,07BB,07BB,07BB,07A3,07A3,07A3,07A3,07A3,07A3,07A3,07A3,07BB,07BB,07BB,07BB,07BB,07BB,07BB,07BB,0783,0783,0783,0783,0783,0783,0783,0783,079B,079B,079B,079B,079B,079B,079B,079B,0783,0783,0783,0783,0783,0783,0783,0783,079B,079B,079B,079B,079B,079B,079B,079B,07A3,07A3,07A3,07A3,07A3,07A3,07A3,07A3,07BB,07BB,07BB,07BB,07BB,07BB,07BB,07BB,07A3,07A3,07A3,07A3,07A3,07A3,07A3,07A3,07BB,07BB,07BB,07BB,07BB,07BB,07BB,07BB,0787,0787,0787,0787,0787,0787,0787,0787,071B,071B,071B,071B,071B,071B,071B,071B,0703,0703,0703,0703,0703,0703,0703,0703,071B,071B,071B,071B,071B,071B,071B,071B,0723,0723,0723,0723,0723,0723,0723,0723,073B,073B,073B,073B,073B,073B,073B,073B,0723,0723,0723,0723,0723,0723,0723,0723,073B,073B,073B,073B,073B,073B,073B,073B,0703,0703,0703,0703,0703,0703,0703,0703,071B,071B,071B,071B,071B,071B,071B,071B,0703,0703,0703,0703,0703,0703,0703,0703,071B,071B,071B,071B,071B,071B,071B,071B,0723,0723,0723,0723,0723,0723,0723,0723,073B,073B,073B,073B,073B,073B,073B,073B,0723,0723,0723,0723,0723,0723,0723,0723,073B,073B,073B,073B,073B,073B,073B,073B,
0802,0802,0802,0802,0802,0802,0802,0802,084A,089B,089B,089B,089B,089B,089B,089B,0883,0883,0883,0883,0883,0883,0883,0883,088B,089B,089B,089B,089B,089B,089B,089B,08A3,08A3,08A3,08A3,08A3,08A3,08A3,08A3,08AB,08BB,08BB,08BB,08BB,08BB,08BB,08BB,08A3,08A3,08A3,08A3,08A3,08A3,08A3,08A3,08AB,08BB,08BB,08BB,08BB,08BB,08BB,08BB,0883,0883,0883,0883,0883,0883,0883,0883,088B,089B,089B,089B,089B,089B,089B,089B,0883,0883,0883,0883,0883,0883,0883,0883,088B,089B,089B,089B,089B,089B,089B,089B,08A3,08A3,08A3,08A3,08A3,08A3,08A3,08A3,08AB,08BB,08BB,08BB,08BB,08BB,08BB,08BB,08A3,08A3,08A3,08A3,08A3,08A3,08A3,08A3,08AB,08BB,08BB,08BB,08BB,08BB,08BB,08BB,0887,0887,0887,0887,0887,0887,0887,0887,088F,081B,081B,081B,081B,081B,081B,081B,0803,0803,0803,0803,0803,0803,0803,0803,080B,081B,081B,081B,081B,081B,081B,081B,0823,0823,0823,0823,0823,0823,0823,0823,082B,083B,083B,083B,083B,083B,083B,083B,0823,0823,0823,0823,0823,0823,0823,0823,082B,083B,083B,083B,083B,083B,083B,083B,0803,0803,0803,0803,0803,0803,0803,0803,080B,081B,081B,081B,081B,081B,081B,081B,0803,0803,0803,0803,0803,0803,0803,0803,080B,081B,081B,081B,081B,081B,081B,081B,0823,0823,0823,0823,0823,0823,0823,0823,082B,083B,083B,083B,083B,083B,083B,083B,0823,0823,0823,0823,0823,0823,0823,0823,082B,083B,083B,083B,083B,083B,083B,083B,
0902,0902,0902,0902,0902,0902,0902,0902,090A,094A,099B,099B,099B,099B,099B,099B,0983,0983,0983,0983,0983,0983,0983,0983,098B,098B,099B,099B,099B,099B,099B,099B,09A3,09A3,09A3,09A3,09A3,09A3,09A3,09A3,09AB,09AB,09BB,09BB,09BB,09BB,09BB,09BB,09A3,09A3,09A3,09A3,09A3,09A3,09A3,09A3,09AB,09AB,09BB,09BB,09BB,09BB,09BB,09BB,0983,0983,0983,0983,0983,0983,0983,0983,098B,098B,099B,099B,099B,099B,099B,099B,0983,0983,0983,0983,0983,0983,0983,0983,098B,098B,099B,099B,099B,099B,099B,099B,09A3,09A3,09A3,09A3,09A3,09A3,09A3,09A3,09AB,09AB,09BB,09BB,09BB,09BB,09BB,09BB,09A3,09A3,09A3,09A3,09A3,09A3,09A3,09A3,09AB,09AB,09BB,09BB,09BB,09BB,09BB,09BB,0987,0987,0987,0987,0987,0987,0987,0987,098F,098F,091B,091B,091B,091B,091B,091B,0903,0903,0903,0903,0903,0903,0903,0903,090B,090B,091B,091B,091B,091B,091B,091B,0923,0923,0923,0923,0923,0923,0923,0923,092B,092B,093B,093B,093B,093B,093B,093B,0923,0923,0923,0923,0923,0923,0923,0923,092B,092B,093B,093B,093B,093B,093B,093B,0903,0903,0903,0903,0903,0903,0903,0903,090B,090B,091B,091B,091B,091B,091B,091B,0903,0903,0903,0903,0903,0903,0903,0903,090B,090B,091B,091B,091B,091B,091B,091B,0923,0923,0923,0923,0923,0923,0923,0923,092B,092B,093B,093B,093B,093B,093B,093B,0923,0923,0923,0923,0923,0923,0923,0923,092B,092B,093B,093B,093B,093B,093B,093B,
