#B increments on this direction [0..255] -->
#A increments downwards [0..255]
#Commit ID: 3e290bbb8d90+ tip
#Hex value of AF registers after performing SBC A, B; A - B with F = 0x00
0042,FFBB,FEBB,FDBB,FCBB,FBBB,FABB,F9BB,F8BB,F7B3,F6B3,F5B3,F4B3,F3B3,F2B3,F1B3,F0A3,EFBB,EEBB,EDBB,ECBB,EBBB,EABB,E9BB,E8BB,E7B3,E6B3,E5B3,E4B3,E3B3,E2B3,E1B3,E0A3,DF9B,DE9B,DD9B,DC9B,DB9B,DA9B,D99B,D89B,D793,D693,D593,D493,D393,D293,D193,D083,CF9B,CE9B,CD9B,CC9B,CB9B,CA9B,C99B,C89B,C793,C693,C593,C493,C393,C293,C193,C083,BFBB,BEBB,BDBB,BCBB,BBBB,BABB,B9BB,B8BB,B7B3,B6B3,B5B3,B4B3,B3B3,B2B3,B1B3,B0A3,AFBB,AEBB,ADBB,ACBB,ABBB,AABB,A9BB,A8BB,A7B3,A6B3,A5B3,A4B3,A3B3,A2B3,A1B3,A0A3,9F9B,9E9B,9D9B,9C9B,9B9B,9A9B,999B,989B,9793,9693,9593,9493,9393,9293,9193,9083,8F9B,8E9B,8D9B,8C9B,8B9B,8A9B,899B,889B,8793,8693,8593,8493,8393,8293,8193,8087,7F3B,7E3B,7D3B,7C3B,7B3B,7A3B,793B,783B,7733,7633,7533,7433,7333,7233,7133,7023,6F3B,6E3B,6D3B,6C3B,6B3B,6A3B,693B,683B,6733,6633,6533,6433,6333,6233,6133,6023,5F1B,5E1B,5D1B,5C1B,5B1B,5A1B,591B,581B,5713,5613,5513,5413,5313,5213,5113,5003,4F1B,4E1B,4D1B,4C1B,4B1B,4A1B,491B,481B,4713,4613,4513,4413,4313,4213,4113,4003,3F3B,3E3B,3D3B,3C3B,3B3B,3A3B,393B,383B,3733,3633,3533,3433,3333,3233,3133,3023,2F3B,2E3B,2D3B,2C3B,2B3B,2A3B,293B,283B,2733,2633,2533,2433,2333,2233,2133,2023,1F1B,1E1B,1D1B,1C1B,1B1B,1A1B,191B,181B,1713,1613,1513,1413,1313,1213,1113,1003,0F1B,0E1B,0D1B,0C1B,0B1B,0A1B,091B,081B,0713,0613,0513,0413,0313,0213,0113,
0102,0042,FFBB,FEBB,FDBB,FCBB,FBBB,FABB,F9BB,F8BB,F7B3,F6B3,F5B3,F4B3,F3B3,F2B3,F1A3,F0A3,EFBB,EEBB,EDBB,ECBB,EBBB,EABB,E9BB,E8BB,E7B3,E6B3,E5B3,E4B3,E3B3,E2B3,E1A3,E0A3,DF9B,DE9B,DD9B,DC9B,DB9B,DA9B,D99B,D89B,D793,D693,D593,D493,D393,D293,D183,D083,CF9B,CE9B,CD9B,CC9B,CB9B,CA9B,C99B,C89B,C793,C693,C593,C493,C393,C293,C183,C083,BFBB,BEBB,BDBB,BCBB,BBBB,BABB,B9BB,B8BB,B7B3,B6B3,B5B3,B4B3,B3B3,B2B3,B1A3,B0A3,AFBB,AEBB,ADBB,ACBB,ABBB,AABB,A9BB,A8BB,A7B3,A6B3,A5B3,A4B3,A3B3,A2B3,A1A3,A0A3,9F9B,9E9B,9D9B,9C9B,9B9B,9A9B,999B,989B,9793,9693,9593,9493,9393,9293,9183,9083,8F9B,8E9B,8D9B,8C9B,8B9B,8A9B,899B,889B,8793,8693,8593,8493,8393,8293,8187,8087,7F3B,7E3B,7D3B,7C3B,7B3B,7A3B,793B,783B,7733,7633,7533,7433,7333,7233,7123,7023,6F3B,6E3B,6D3B,6C3B,6B3B,6A3B,693B,683B,6733,6633,6533,6433,6333,6233,6123,6023,5F1B,5E1B,5D1B,5C1B,5B1B,5A1B,591B,581B,5713,5613,5513,5413,5313,5213,5103,5003,4F1B,4E1B,4D1B,4C1B,4B1B,4A1B,491B,481B,4713,4613,4513,4413,4313,4213,4103,4003,3F3B,3E3B,3D3B,3C3B,3B3B,3A3B,393B,383B,3733,3633,3533,3433,3333,3233,3123,3023,2F3B,2E3B,2D3B,2C3B,2B3B,2A3B,293B,283B,2733,2633,2533,2433,2333,2233,2123,2023,1F1B,1E1B,1D1B,1C1B,1B1B,1A1B,191B,181B,1713,1613,1513,1413,1313,1213,1103,1003,0F1B,0E1B,0D1B,0C1B,0B1B,0A1B,091B,081B,0713,0613,0513,0413,0313,0213,
0202,0102,0042,FFBB,FEBB,FDBB,FCBB,FBBB,FABB,F9BB,F8BB,F7B3,F6B3,F5B3,F4B3,F3B3,F2A3,F1A3,F0A3,EFBB,EEBB,EDBB,ECBB,EBBB,EABB,E9BB,E8BB,E7B3,E6B3,E5B3,E4B3,E3B3,E2A3,E1A3,E0A3,DF9B,DE9B,DD9B,DC9B,DB9B,DA9B,D99B,D89B,D793,D693,D593,D493,D393,D283,D183,D083,CF9B,CE9B,CD9B,CC9B,CB9B,CA9B,C99B,C89B,C793,C693,C593,C493,C393,C283,C183,C083,BFBB,BEBB,BDBB,BCBB,BBBB,BABB,B9BB,B8BB,B7B3,B6B3,B5B3,B4B3,B3B3,B2A3,B1A3,B0A3,AFBB,AEBB,ADBB,ACBB,ABBB,AABB,A9BB,A8BB,A7B3,A6B3,A5B3,A4B3,A3B3,A2A3,A1A3,A0A3,9F9B,9E9B,9D9B,9C9B,9B9B,9A9B,999B,989B,9793,9693,9593,9493,9393,9283,9183,9083,8F9B,8E9B,8D9B,8C9B,8B9B,8A9B,899B,889B,8793,8693,8593,8493,8393,8287,8187,8087,7F3B,7E3B,7D3B,7C3B,7B3B,7A3B,793B,783B,7733,7633,7533,7433,7333,7223,7123,7023,6F3B,6E3B,6D3B,6C3B,6B3B,6A3B,693B,683B,6733,6633,6533,6433,6333,6223,6123,6023,5F1B,5E1B,5D1B,5C1B,5B1B,5A1B,591B,581B,5713,5613,5513,5413,5313,5203,5103,5003,4F1B,4E1B,4D1B,4C1B,4B1B,4A1B,491B,481B,4713,4613,4513,4413,4313,4203,4103,4003,3F3B,3E3B,3D3B,3C3B,3B3B,3A3B,393B,383B,3733,3633,3533,3433,3333,3223,3123,3023,2F3B,2E3B,2D3B,2C3B,2B3B,2A3B,293B,283B,2733,2633,2533,2433,2333,2223,2123,2023,1F1B,1E1B,1D1B,1C1B,1B1B,1A1B,191B,181B,1713,1613,1513,1413,1313,1203,1103,1003,0F1B,0E1B,0D1B,0C1B,0B1B,0A1B,091B,081B,0713,0613,0513,0413,0313,
0302,0202,0102,0042,FFBB,FEBB,FDBB,FCBB,FBBB,FABB,F9BB,F8BB,F7B3,F6B3,F5B3,F4B3,F3A3,F2A3,F1A3,F0A3,EFBB,EEBB,EDBB,ECBB,EBBB,EABB,E9BB,E8BB,E7B3,E6B3,E5B3,E4B3,E3A3,E2A3,E1A3,E0A3,DF9B,DE9B,DD9B,DC9B,DB9B,DA9B,D99B,D89B,D793,D693,D593,D493,D383,D283,D183,D083,CF9B,CE9B,CD9B,CC9B,CB9B,CA9B,C99B,C89B,C793,C693,C593,C493,C383,C283,C183,C083,BFBB,BEBB,BDBB,BCBB,BBBB,BABB,B9BB,B8BB,B7B3,B6B3,B5B3,B4B3,B3A3,B2A3,B1A3,B0A3,AFBB,AEBB,ADBB,ACBB,ABBB,AABB,A9BB,A8BB,A7B3,A6B3,A5B3,A4B3,A3A3,A2A3,A1A3,A0A3,9F9B,9E9B,9D9B,9C9B,9B9B,9A9B,999B,989B,9793,9693,9593,9493,9383,9283,9183,9083,8F9B,8E9B,8D9B,8C9B,8B9B,8A9B,899B,889B,8793,8693,8593,8493,8387,8287,8187,8087,7F3B,7E3B,7D3B,7C3B,7B3B,7A3B,793B,783B,7733,7633,7533,7433,7323,7223,7123,7023,6F3B,6E3B,6D3B,6C3B,6B3B,6A3B,693B,683B,6733,6633,6533,6433,6323,6223,6123,6023,5F1B,5E1B,5D1B,5C1B,5B1B,5A1B,591B,581B,5713,5613,5513,5413,5303,5203,5103,5003,4F1B,4E1B,4D1B,4C1B,4B1B,4A1B,491B,481B,4713,4613,4513,4413,4303,4203,4103,4003,3F3B,3E3B,3D3B,3C3B,3B3B,3A3B,393B,383B,3733,3633,3533,3433,3323,3223,3123,3023,2F3B,2E3B,2D3B,2C3B,2B3B,2A3B,293B,283B,2733,2633,2533,2433,2323,2223,2123,2023,1F1B,1E1B,1D1B,1C1B,1B1B,1A1B,191B,181B,1713,1613,1513,1413,1303,1203,1103,1003,0F1B,0E1B,0D1B,0C1B,0B1B,0A1B,091B,081B,0713,0613,0513,0413,
0402,0302,0202,0102,0042,FFBB,FEBB,FDBB,FCBB,FBBB,FABB,F9BB,F8BB,F7B3,F6B3,F5B3,F4A3,F3A3,F2A3,F1A3,F0A3,EFBB,EEBB,EDBB,ECBB,EBBB,EABB,E9BB,E8BB,E7B3,E6B3,E5B3,E4A3,E3A3,E2A3,E1A3,E0A3,DF9B,DE9B,DD9B,DC9B,DB9B,DA9B,D99B,D89B,D793,D693,D593,D483,D383,D283,D183,D083,CF9B,CE9B,CD9B,CC9B,CB9B,CA9B,C99B,C89B,C793,C693,C593,C483,C383,C283,C183,C083,BFBB,BEBB,BDBB,BCBB,BBBB,BABB,B9BB,B8BB,B7B3,B6B3,B5B3,B4A3,B3A3,B2A3,B1A3,B0A3,AFBB,AEBB,ADBB,ACBB,ABBB,AABB,A9BB,A8BB,A7B3,A6B3,A5B3,A4A3,A3A3,A2A3,A1A3,A0A3,9F9B,9E9B,9D9B,9C9B,9B9B,9A9B,999B,989B,9793,9693,9593,9483,9383,9283,9183,9083,8F9B,8E9B,8D9B,8C9B,8B9B,8A9B,899B,889B,8793,8693,8593,8487,8387,8287,8187,8087,7F3B,7E3B,7D3B,7C3B,7B3B,7A3B,793B,783B,7733,7633,7533,7423,7323,7223,7123,7023,6F3B,6E3B,6D3B,6C3B,6B3B,6A3B,693B,683B,6733,6633,6533,6423,6323,6223,6123,6023,5F1B,5E1B,5D1B,5C1B,5B1B,5A1B,591B,581B,5713,5613,5513,5403,5303,5203,5103,5003,4F1B,4E1B,4D1B,4C1B,4B1B,4A1B,491B,481B,4713,4613,4513,4403,4303,4203,4103,4003,3F3B,3E3B,3D3B,3C3B,3B3B,3A3B,393B,383B,3733,3633,3533,3423,3323,3223,3123,3023,2F3B,2E3B,2D3B,2C3B,2B3B,2A3B,293B,283B,2733,2633,2533,2423,2323,2223,2123,2023,1F1B,1E1B,1D1B,1C1B,1B1B,1A1B,191B,181B,1713,1613,1513,1403,1303,1203,1103,1003,0F1B,0E1B,0D1B,0C1B,0B1B,0A1B,091B,081B,0713,0613,0513,
0502,0402,0302,0202,0102,0042,FFBB,FEBB,FDBB,FCBB,FBBB,FABB,F9BB,F8BB,F7B3,F6B3,F5A3,F4A3,F3A3,F2A3,F1A3,F0A3,EFBB,EEBB,EDBB,ECBB,EBBB,EABB,E9BB,E8BB,E7B3,E6B3,E5A3,E4A3,E3A3,E2A3,E1A3,E0A3,DF9B,DE9B,DD9B,DC9B,DB9B,DA9B,D99B,D89B,D793,D693,D583,D483,D383,D283,D183,D083,CF9B,CE9B,CD9B,CC9B,CB9B,CA9B,C99B,C89B,C793,C693,C583,C483,C383,C283,C183,C083,BFBB,BEBB,BDBB,BCBB,BBBB,BABB,B9BB,B8BB,B7B3,B6B3,B5A3,B4A3,B3A3,B2A3,B1A3,B0A3,AFBB,AEBB,ADBB,ACBB,ABBB,AABB,A9BB,A8BB,A7B3,A6B3,A5A3,A4A3,A3A3,A2A3,A1A3,A0A3,9F9B,9E9B,9D9B,9C9B,9B9B,9A9B,999B,989B,9793,9693,9583,9483,9383,9283,9183,9083,8F9B,8E9B,8D9B,8C9B,8B9B,8A9B,899B,889B,8793,8693,8587,8487,8387,8287,8187,8087,7F3B,7E3B,7D3B,7C3B,7B3B,7A3B,793B,783B,7733,7633,7523,7423,7323,7223,7123,7023,6F3B,6E3B,6D3B,6C3B,6B3B,6A3B,693B,683B,6733,6633,6523,6423,6323,6223,6123,6023,5F1B,5E1B,5D1B,5C1B,5B1B,5A1B,591B,581B,5713,5613,5503,5403,5303,5203,5103,5003,4F1B,4E1B,4D1B,4C1B,4B1B,4A1B,491B,481B,4713,4613,4503,4403,4303,4203,4103,4003,3F3B,3E3B,3D3B,3C3B,3B3B,3A3B,393B,383B,3733,3633,3523,3423,3323,3223,3123,3023,2F3B,2E3B,2D3B,2C3B,2B3B,2A3B,293B,283B,2733,2633,2523,2423,2323,2223,2123,2023,1F1B,1E1B,1D1B,1C1B,1B1B,1A1B,191B,181B,1713,1613,1503,1403,1303,1203,1103,1003,0F1B,0E1B,0D1B,0C1B,0B1B,0A1B,091B,081B,0713,0613,
0602,0502,0402,0302,0202,0102,0042,FFBB,FEBB,FDBB,FCBB,FBBB,FABB,F9BB,F8BB,F7B3,F6A3,F5A3,F4A3,F3A3,F2A3,F1A3,F0A3,EFBB,EEBB,EDBB,ECBB,EBBB,EABB,E9BB,E8BB,E7B3,E6A3,E5A3,E4A3,E3A3,E2A3,E1A3,E0A3,DF9B,DE9B,DD9B,DC9B,DB9B,DA9B,D99B,D89B,D793,D683,D583,D483,D383,D283,D183,D083,CF9B,CE9B,CD9B,CC9B,CB9B,CA9B,C99B,C89B,C793,C683,C583,C483,C383,C283,C183,C083,BFBB,BEBB,BDBB,BCBB,BBBB,BABB,B9BB,B8BB,B7B3,B6A3,B5A3,B4A3,B3A3,B2A3,B1A3,B0A3,AFBB,AEBB,ADBB,ACBB,ABBB,AABB,A9BB,A8BB,A7B3,A6A3,A5A3,A4A3,A3A3,A2A3,A1A3,A0A3,9F9B,9E9B,9D9B,9C9B,9B9B,9A9B,999B,989B,9793,9683,9583,9483,9383,9283,9183,9083,8F9B,8E9B,8D9B,8C9B,8B9B,8A9B,899B,889B,8793,8687,8587,8487,8387,8287,8187,8087,7F3B,7E3B,7D3B,7C3B,7B3B,7A3B,793B,783B,7733,7623,7523,7423,7323,7223,7123,7023,6F3B,6E3B,6D3B,6C3B,6B3B,6A3B,693B,683B,6733,6623,6523,6423,6323,6223,6123,6023,5F1B,5E1B,5D1B,5C1B,5B1B,5A1B,591B,581B,5713,5603,5503,5403,5303,5203,5103,5003,4F1B,4E1B,4D1B,4C1B,4B1B,4A1B,491B,481B,4713,4603,4503,4403,4303,4203,4103,4003,3F3B,3E3B,3D3B,3C3B,3B3B,3A3B,393B,383B,3733,3623,3523,3423,3323,3223,3123,3023,2F3B,2E3B,2D3B,2C3B,2B3B,2A3B,293B,283B,2733,2623,2523,2423,2323,2223,2123,2023,1F1B,1E1B,1D1B,1C1B,1B1B,1A1B,191B,181B,1713,1603,1503,1403,1303,1203,1103,1003,0F1B,0E1B,0D1B,0C1B,0B1B,0A1B,091B,081B,0713,
0702,0602,0502,0402,0302,0202,0102,0042,FFBB,FEBB,FDBB,FCBB,FBBB,FABB,F9BB,F8BB,F7A3,F6A3,F5A3,F4A3,F3A3,F2A3,F1A3,F0A3,EFBB,EEBB,EDBB,ECBB,EBBB,EABB,E9BB,E8BB,E7A3,E6A3,E5A3,E4A3,E3A3,E2A3,E1A3,E0A3,DF9B,DE9B,DD9B,DC9B,DB9B,DA9B,D99B,D89B,D783,D683,D583,D483,D383,D283,D183,D083,CF9B,CE9B,CD9B,CC9B,CB9B,CA9B,C99B,C89B,C783,C683,C583,C483,C383,C283,C183,C083,BFBB,BEBB,BDBB,BCBB,BBBB,BABB,B9BB,B8BB,B7A3,B6A3,B5A3,B4A3,B3A3,B2A3,B1A3,B0A3,AFBB,AEBB,ADBB,ACBB,ABBB,AABB,A9BB,A8BB,A7A3,A6A3,A5A3,A4A3,A3A3,A2A3,A1A3,A0A3,9F9B,9E9B,9D9B,9C9B,9B9B,9A9B,999B,989B,9783,9683,9583,9483,9383,9283,9183,9083,8F9B,8E9B,8D9B,8C9B,8B9B,8A9B,899B,889B,8787,8687,8587,8487,8387,8287,8187,8087,7F3B,7E3B,7D3B,7C3B,7B3B,7A3B,793B,783B,7723,7623,7523,7423,7323,7223,7123,7023,6F3B,6E3B,6D3B,6C3B,6B3B,6A3B,693B,683B,6723,6623,6523,6423,6323,6223,6123,6023,5F1B,5E1B,5D1B,5C1B,5B1B,5A1B,591B,581B,5703,5603,5503,5403,5303,5203,5103,5003,4F1B,4E1B,4D1B,4C1B,4B1B,4A1B,491B,481B,4703,4603,4503,4403,4303,4203,4103,4003,3F3B,3E3B,3D3B,3C3B,3B3B,3A3B,393B,383B,3723,3623,3523,3423,3323,3223,3123,3023,2F3B,2E3B,2D3B,2C3B,2B3B,2A3B,293B,283B,2723,2623,2523,2423,2323,2223,2123,2023,1F1B,1E1B,1D1B,1C1B,1B1B,1A1B,191B,181B,1703,1603,1503,1403,1303,1203,1103,1003,0F1B,0E1B,0D1B,0C1B,0B1B,0A1B,091B,081B,
080A,0702,0602,0502,0402,0302,0202,0102,0042,FFBB,FEBB,FDBB,FCBB,FBBB,FABB,F9BB,F8AB,F7A3,F6A3,F5A3,F4A3,F3A3,F2A3,F1A3,F0A3,EFBB,EEBB,EDBB,ECBB,EBBB,EABB,E9BB,E8AB,E7A3,E6A3,E5A3,E4A3,E3A3,E2A3,E1A3,E0A3,DF9B,DE9B,DD9B,DC9B,DB9B,DA9B,D99B,D88B,D783,D683,D583,D483,D383,D283,D183,D083,CF9B,CE9B,CD9B,CC9B,CB9B,CA9B,C99B,C88B,C783,C683,C583,C483,C383,C283,C183,C083,BFBB,BEBB,BDBB,BCBB,BBBB,BABB,B9BB,B8AB,B7A3,B6A3,B5A3,B4A3,B3A3,B2A3,B1A3,B0A3,AFBB,AEBB,ADBB,ACBB,ABBB,AABB,A9BB,A8AB,A7A3,A6A3,A5A3,A4A3,A3A3,A2A3,A1A3,A0A3,9F9B,9E9B,9D9B,9C9B,9B9B,9A9B,999B,988B,9783,9683,9583,9483,9383,9283,9183,9083,8F9B,8E9B,8D9B,8C9B,8B9B,8A9B,899B,888F,8787,8687,8587,8487,8387,8287,8187,8087,7F3B,7E3B,7D3B,7C3B,7B3B,7A3B,793B,782B,7723,7623,7523,7423,7323,7223,7123,7023,6F3B,6E3B,6D3B,6C3B,6B3B,6A3B,693B,682B,6723,6623,6523,6423,6323,6223,6123,6023,5F1B,5E1B,5D1B,5C1B,5B1B,5A1B,591B,580B,5703,5603,5503,5403,5303,5203,5103,5003,4F1B,4E1B,4D1B,4C1B,4B1B,4A1B,491B,480B,4703,4603,4503,4403,4303,4203,4103,4003,3F3B,3E3B,3D3B,3C3B,3B3B,3A3B,393B,382B,3723,3623,3523,3423,3323,3223,3123,3023,2F3B,2E3B,2D3B,2C3B,2B3B,2A3B,293B,282B,2723,2623,2523,2423,2323,2223,2123,2023,1F1B,1E1B,1D1B,1C1B,1B1B,1A1B,191B,180B,1703,1603,1503,1403,1303,1203,1103,1003,0F1B,0E1B,0D1B,0C1B,0B1B,0A1B,091B,
090A,080A,0702,0602,0502,0402,0302,0202,0102,0042,FFBB,FEBB,FDBB,FCBB,FBBB,FABB,F9AB,F8AB,F7A3,F6A3,F5A3,F4A3,F3A3,F2A3,F1A3,F0A3,EFBB,EEBB,EDBB,ECBB,EBBB,EABB,E9AB,E8AB,E7A3,E6A3,E5A3,E4A3,E3A3,E2A3,E1A3,E0A3,DF9B,DE9B,DD9B,DC9B,DB9B,DA9B,D98B,D88B,D783,D683,D583,D483,D383,D283,D183,D083,CF9B,CE9B,CD9B,CC9B,CB9B,CA9B,C98B,C88B,C783,C683,C583,C483,C383,C283,C183,C083,BFBB,BEBB,BDBB,BCBB,BBBB,BABB,B9AB,B8AB,B7A3,B6A3,B5A3,B4A3,B3A3,B2A3,B1A3,B0A3,AFBB,AEBB,ADBB,ACBB,ABBB,AABB,A9AB,A8AB,A7A3,A6A3,A5A3,A4A3,A3A3,A2A3,A1A3,A0A3,9F9B,9E9B,9D9B,9C9B,9B9B,9A9B,998B,988B,9783,9683,9583,9483,9383,9283,9183,9083,8F9B,8E9B,8D9B,8C9B,8B9B,8A9B,898F,888F,8787,8687,8587,8487,8387,8287,8187,8087,7F3B,7E3B,7D3B,7C3B,7B3B,7A3B,792B,782B,7723,7623,7523,7423,7323,7223,7123,7023,6F3B,6E3B,6D3B,6C3B,6B3B,6A3B,692B,682B,6723,6623,6523,6423,6323,6223,6123,6023,5F1B,5E1B,5D1B,5C1B,5B1B,5A1B,590B,580B,5703,5603,5503,5403,5303,5203,5103,5003,4F1B,4E1B,4D1B,4C1B,4B1B,4A1B,490B,480B,4703,4603,4503,4403,4303,4203,4103,4003,3F3B,3E3B,3D3B,3C3B,3B3B,3A3B,392B,382B,3723,3623,3523,3423,3323,3223,3123,3023,2F3B,2E3B,2D3B,2C3B,2B3B,2A3B,292B,282B,2723,2623,2523,2423,2323,2223,2123,2023,1F1B,1E1B,1D1B,1C1B,1B1B,1A1B,190B,180B,1703,1603,1503,1403,1303,1203,1103,1003,0F1B,0E1B,0D1B,0C1B,0B1B,0A1B,
